post_date,trans_date,merchant,country,purchase_currency,aud_amount,hkd_amount,fx_rate
02-07-2026,29-06-2026,MEEK AUTOMOTIVE PTY LT SEVEN HILLS,AU,AUD,$52.00,$287.99,5.53827
02-07-2026,30-06-2026,El Jannah Burwood Burwood,AU,AUD,$39.00,$215.35,5.52179
02-07-2026,30-06-2026,Hin Tee Choo Burwood,AU,AUD,$21.91,$120.98,5.52168
02-07-2026,29-06-2026,ZETCITI SUPERMRKT RC RHODES,AU,AUD,$15.56,$86.18,5.53856
02-07-2026,30-06-2026,CHEMIST WAREHOUSE BURWOOD,AU,AUD,$39.98,$220.76,5.52176
02-07-2026,01-07-2026,SQ *LAB RHODES Rhodes,AU,AUD,$10.49,$58.15,5.54337
02-07-2026,30-06-2026,REBEL BURWOOD BURWOOD,AU,AUD,$19.99,$110.38,5.52176
02-07-2026,01-07-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$11.50,$63.75,5.54348
02-07-2026,30-06-2026,EZI*DYNASTY Lugarno,AU,AUD,$86.15,$475.70,5.52176
04-07-2026,03-07-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$11.50,$63.88,5.55478
04-07-2026,02-07-2026,Uniqlo Macquarie North Ryde,AU,AUD,$291.60,"$1,615.28",5.53937
04-07-2026,03-07-2026,SQ *KABUL SOCIAL WYNARD Sydney,AU,AUD,$20.18,$112.09,5.55451
04-07-2026,03-07-2026,SQ *GUMPTION COFFEE Sydney,AU,AUD,$5.50,$30.55,5.55455
04-07-2026,03-07-2026,24 York Sydney,AU,AUD,$129.29,$718.15,5.55457
06-07-2026,05-07-2026,WOOLWORTHS/6-14 WALKER ST RHODES,AU,AUD,$92.26,$512.94,5.55972
06-07-2026,05-07-2026,SQ *MAMUKI GLEBE 1800595310,AU,AUD,$63.58,$353.48,5.55961
06-07-2026,05-07-2026,HASHI SUSHI Rhodes,AU,AUD,$30.40,$169.01,5.55954
06-07-2026,03-07-2026,SHANNONS CTP BRISBANE CITY,AU,AUD,$607.88,"$3,376.49",5.55453
